species,year,y2,bs,location,l2,nest,season,weight,source
Atlantic Petrel,2001,2001,0.2,Gough Island,GI,b,w,520,Cuthbert & Hilton 2004
Atlantic Petrel,2014,2014,0.12,Gough Island,GI,b,w,520,Dilley et al. 2015
Atlantic Petrel,2015,2015,0.23,Gough Island,GI,b,w,520,RSPB unpublished
Atlantic Petrel,2016,2016,0.52,Gough Island,GI,b,w,520,RSPB unpublished
Atlantic Petrel,2003-2007,2007,0.23,Gough Island,GI,b,w,520,Wanless et al. 2012
Atlantic Yellow-nosed Albatross,1982-1983,1983,0.64,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1983-1984,1984,0.61,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1984-1985,1985,0.58,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1985-1986,1986,0.56,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1986-1987,1987,0.76,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1987-1988,1988,0.67,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1988-1989,1989,0.7,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1989-1990,1990,0.7,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1990-1991,1991,0.79,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1991-1992,1992,0.63,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1992-1993,1993,0.74,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1993-1994,1994,0.72,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1994-1995,1995,0.74,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1996-1997,1997,0.77,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1997-1998,1998,0.71,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1998-1999,1999,0.71,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,1999-2000,2000,0.33,Gough Island,GI,a,s,2200,Cuthbert et al. 2003
Atlantic Yellow-nosed Albatross,2000-2001,2001,0.62,Gough Island,GI,a,s,2200,Cuthbert & Hilton 2004
Atlantic Yellow-nosed Albatross,2002-2003,2003,0.34,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2003-2004,2004,0.77,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2004-2005,2005,0.59,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2005-2006,2006,0.64,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2006-2007,2007,0.6,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2007-2008,2008,0.59,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2008-2009,2009,0.37,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2009-2010,2010,0.7,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2010-2011,2011,0.57,Gough Island,GI,a,s,2200,Cutthbert et al. 2014
Atlantic Yellow-nosed Albatross,2011-2012,2012,0.52,Gough Island,GI,a,s,2200,RSPB unpublished
Atlantic Yellow-nosed Albatross,2012-2013,2013,0.66,Gough Island,GI,a,s,2200,RSPB unpublished
Atlantic Yellow-nosed Albatross,2013-2014,2014,0.58,Gough Island,GI,a,s,2200,RSPB unpublished
Atlantic Yellow-nosed Albatross,2014-2015,2015,0.55,Gough Island,GI,a,s,2200,RSPB unpublished
Atlantic Yellow-nosed Albatross,2015-2016,2016,0.76,Gough Island,GI,a,s,2200,RSPB unpublished
Broad-billed Prion,2009-2010,2010,0.09,Gough Island,GI,b,s,200,Cuthbert et al. 2013
Broad-billed Prion,2010-2011,2011,0,Gough Island,GI,b,s,200,Cuthbert et al. 2013
Broad-billed Prion,2013-2014,2014,0,Gough Island,GI,b,s,200,Dilley et al. 2015
Grey Petrel,2009,2009,0.31,Gough Island,GI,b,w,1100,Cuthbert et al. 2013
Grey Petrel,2010,2010,0.35,Gough Island,GI,b,w,1100,Cuthbert et al. 2013
Grey Petrel,2014,2014,0.34,Gough Island,GI,b,w,1100,Dilley et al. 2015
Grey Petrel,2015,2015,0.5,Gough Island,GI,b,w,1100,RSPB unpublished
Grey Petrel,2016,2016,0.32,Gough Island,GI,b,w,1100,RSPB unpublished
Great Shearwater,2000-2001,2001,0.52,Gough Island,GI,b,s,850,Cuthbert & Hilton 2004; Cuthbert 2005
Great Shearwater,2008-2009,2009,0.33,Gough Island,GI,b,s,850,Cuthbert et al. 2013
Great Shearwater,2009-2010,2010,0.44,Gough Island,GI,b,s,850,Cuthbert et al. 2013
